,DESCRIPTION,CATEGORY
7450,I was on Dadar station main bridge and it was too crowded. A guy touched me inappropriately and I just yelled at him. There were a few cops on the bridge so they tried to help me but the people around were not cooperative so they could not find him.,Ogling/Facial Expressions/Staring
7451,A forced and repeated attempt to stalk and sext on Facebook.,Commenting
7452,"My friends and I were at Crawford Market and my friend noticed a guy clicking pictures. She told me and I went up to him, asked him to delete the pictures. I took the camera from him and deleted the pictures.",Taking pictures
7453,I was crossing the park near my house at 7 pm and there were a group of boys who were smoking and they started walking towards me and circled me and started teasing. I punched the guy closest to me and hit the other on his gut. Ran home and told my mother and we went to launch a complaint,Ogling/Facial Expressions/Staring
7454,A guy passed comments on my friend and started singing an item song as she passed he felt it.,Taking pictures
7455,One guy purposely bashed into me. I grabbed him and slapped him.,Ogling/Facial Expressions/Staring
7456,"While travelling from Colaba to Cumballa hill by bus, one man standing next to me unzipped his pant and flashed and started falling on me. I was sitting so then I made a noise. I slapped him and the conductor was forced to throw him out.",Ogling/Facial Expressions/Staring
7457,A person touched me inappropriately at Vasai Station.,Ogling/Facial Expressions/Staring
7458,"There was a guy in the same bus in which I was travelling and since there was a seat empty besides me, he sat and purposely was pushing me.",Ogling/Facial Expressions/Staring
7459,I was groped and there was this unwanted touch by a guy at a crowded bridge on the Dadar station (Western Central connecting bridge),Catcalls/Whistles
7460,The usual ogling with their protruding eyeballs no matter what women wear.,Ogling/Facial Expressions/Staring
7461,Harassed in Indore,Ogling/Facial Expressions/Staring
7462,A friend was stalked continuously for 20 days by a stranger on the way back from her tuition to home.,Catcalls/Whistles
7463,"My friend went to one of the departmental stores in Rajasthan. She was carrying 2 bags of goods which she had bought. 2 men on the street told her &quot;hum utha le aap kano toy&quot;.

This happened in Kishangarh, near the power house.",Catcalls/Whistles
7464,"My friends and me went to Carter road and we were having some fun. Suddenly my friend noticed a guy taking pictures of us. So we went up to him and told him to show us the phone. And we found the pic, deleted it and slapped the man and walked off.",Ogling/Facial Expressions/Staring
7465,"It was after New Year's mass while going for a party, I was eve teased and I complained to the cops.",Taking pictures
7466,"We were at Crawford market, 3 girls and we were going into the market. There was this man with a DSLR camera around his neck. We figured that he was taking our picture because just before this incident we had a workshop/enrichment session which told us that men do take pictures and post it on forums and discuss the pictures. When we saw that man's camera he had taken pictures of the upper and lower body.",Taking pictures
7467,"I came to college in a cab. That day as I was coming to attend the 8 o'clock lecture in college, the taxi driver told me that I have a bug stuck to my hair. I tried to brush the bug off but he told me it is still there. So I told him to take it out but he just shoved his hands inside my Tshirt. Quite frightened, I shoved his hand away and got out of the cab as quickly as possibly.

This happened outside the gates of Sophia college, Mumbai",Touching /Groping
7468,"Actually it is not a big matter to us because ladies are al ways feel abused simply when we travel in a public vehicle like touching ,pushing are regular problems.",Ogling/Facial Expressions/Staring
7469,I was going to home after office my office hours.It was already late in the evening and had to catch a cab instead.And that cab driver couldn't get his eye off me which I felt kinda offensive.,Others
7470,In our college some boys always touch our private parts and  we have so much mental and physical problem.,Touching /Groping
7471,"When I was riding scooter, A micro-bus overtook and both the driver and conductor of that blue micro bus said,&quot; Are you new in riding scooter, how slowly you are riding?Should we teach you how to ride?&quot; This type of comment I got several times.",Others
7472,"When I was riding my scooter,I was riding from my side but a big bus came from wrong side and the driver laughed at me and over take me very dangerously,I thought I died at that moment.I face this type of incident several times while riding my scooter,riding scooter is not safe in kathmandu",Others
7473,unknown people take pictures,Taking pictures
7474,whenever i go somewhere in a decent dress up people give whistles and i feel so embarassesd,Catcalls/Whistles
7475,People take pictures when we stand for a while in this area to wait some friend,Taking pictures
7476,"Whenever I stand in the bus stop ,guys come and touch me and I can do nothing...",Touching /Groping
7477,"Whenever I stand in the bus stop ,guys come and touch me and I can do nothing...",Touching /Groping
7478,Several times when I walk in the street people whistles and catcalls..I feel so embarrassed,Catcalls/Whistles
7479,A rowdy looking man snatched my golden chain and ran away and I couldn't do anything.,Chain Snatching
7480,A man try to grab my breast but I ran away.,Rape / Sexual Assault
7481,When I was walking on the street people commented on my cloths.,Commenting
7482,It happened to me when I was going to my friend's place .,Catcalls/Whistles
7483,Inappropriately touched during morning and afternoon rush hours at Kurla station.,Touching /Groping
7484,Inappropriately touched during morning and afternoon rush hours at Thane station.,Touching /Groping
7485,A very similar incident happened at bandra station when I was groped by a man while trying to climb the stairs from Bandra West. He groped me and mingled in the crowd.,Touching /Groping
7486,I was groped when I disembarked from the train at Dadar station from the general compartment. The man held both my breasts and pressed leading me shocked. I got down and shouted and tried catching him but he mingled with the crowd which just kept staring at me for shouting out abuses. I could run due to the crowd and the creep walked off.,Touching /Groping
7487,"He was a remotewala man basically dealing with used stuff. This man used to come to our society to collect used stuff in noon time. It was one day when I was out near the corridor that this man passed by and suddenly down there he started undressing himself and he actually showed me his penis and gestured to me whether i wanted it.

Dadarkar compound, Tulshiwadi, Tardeo",Ogling/Facial Expressions/Staring
7488,"I saw a taxi driver not driving and staring at all the ladies passing by him. He stared at them from top to bottom. Literally staring them till the time they were visible.

Sukh sagar bus stop.",Ogling/Facial Expressions/Staring
7489,When we went to Rajasthan for a trip. When we went in a desert there were boys who were trying to take pictures of girls.,Ogling/Facial Expressions/Staring
7490,stalking at Borivali,Stalking
7491,"The person following my sister and passed comments and tried to touch her.

Dongri from Sabu Siddique hospital to Shalimar.",Ogling/Facial Expressions/Staring
7492,"During the Diwali, 1 of my uncles has sexually harassed his friend's daughter when they were sitting in the pandal. He made the girl sit next to him, he touched her as if he is loving her.",Catcalls/Whistles
7493,One of my aunts was walking on a crowded street and this guy actually opened the zip of his pants and started rubbing his penis and ejaculating on her back.,Indecent exposure
7494,"3 people in a shared rickshaw. One next to me was an ISKON priest (the clothes showed it). For the whole 5 min ride his hands kept moving up my thigh. When one of the person got off the priest did not move away from me until I told him to do so.

This took place from Mira Rd to Shrishti Complex",Touching /Groping
7495,"My cousin and I were on the scooter riding along Marine drive sea face. A bike came along from behind with 2 guys who kept smiling, ogling and they kept trying to distract us. They would zoom across and come in our way again and again.

It happened on Marine Drive but they followed us on our way home (lost half our route). They stopped at Mohammed Ali Rd and diverted their route.",Ogling/Facial Expressions/Staring
7496,A group of three guys moving then suddenly they started whistling at me.I pretended as if i didn't hear them.Suddenly i turned and saw one of them turn and hid their face.,Catcalls/Whistles
7497,When I was in school one drunk man in public place touched my breast and pressed it. I froze and couldn't react to it. Now after thinking that I feel a little bad.,Touching /Groping
7498,Unfortunately there are more than one incident that happened. One of them was in front of the SOBO mall where a car started following us.,Ogling/Facial Expressions/Staring
7499,My friend was groped and inappropriately touched on a BEST bus 287,Touching /Groping
7500,"She was alone, trying to catch an auto. A man tried to touch her in an improper manner. She faced him and shouted back to which he smartly ignored and walked away pretending to be unaware of what just happened.",Ogling/Facial Expressions/Staring
7501,I was harassed at Bangur nagar,Ogling/Facial Expressions/Staring
7502,I was harassed near sukh sagar,Ogling/Facial Expressions/Staring
7503,"While I was walking home, a man walked towards me and actually slapped me on my body. When I looked at him angrily, he simply said sorry and ran away.

This was near Arab Gali, Two tanks, Grant road.",Touching /Groping
7504,"Unwanted touching, staring, domestic violence",Ogling/Facial Expressions/Staring
7505,"A man in the bus sat behind me and inappropriately tried touching me. However, my friend and I did raise our voice and he was thrown out of the bus.",Touching /Groping
7506,"I was standing at Bandra station wearing a red sleeveless top. Men in the arriving trains whistled, stared, commented on my shirt and my figure.",Ogling/Facial Expressions/Staring
7507,"Pinched on the breast at a water park in Mehsana, Gujarat",Touching /Groping
7508,"Near Churchgate station I was walking and realised a guy was following me and also masturbating. it was sickening although it was 0830/0900 on a Sunday. The street was dark because the entire road has mostly office buildings or showrooms and there were no people on that street since it was dark.

This was the area outside Churchgate station going towards Marine Lines.",Indecent exposure
7509,"I was in a crowded bus when this happened. My friend and I were sitting in the general seats on the left side of the bus. the man next to my friend sitting on the aisle side felt something on her shoulder. she turned to check what it was and it turned out to be a man with his erection, resting on her shoulder. This happened in the BEST bus 296",Ogling/Facial Expressions/Staring
7510,"My friend was walking down a crowded station and this man passed her by and spanked her hard on her butt. She got so terrified, she ran away.",Touching /Groping
7511,one man tried to touch my back when walking on street.,Catcalls/Whistles
7512,one of the person in public bus tried to touch me time to time,Catcalls/Whistles
7513,one of my friend boyfriend always black mail her and try to have physical relation with her......,Taking pictures
7514,"once when i was going back my home from office, one person tried to touche me with his arms......",Catcalls/Whistles
7515,one person tried to touch me on my private area on microbus.....,Touching /Groping
7516,sexual harresment to a lady who was travelling on micro bus....,Touching /Groping
7517,one girl was touched by conducter ....,Commenting
7518,i was touched by an old man in microvan ....,Touching /Groping
7519,"some boys wistles and commented ,when i was going to my house....",Catcalls/Whistles
7520,some boys commented on me when i was on scooty ..,Catcalls/Whistles
7521,"it has happened to my friend,she was on her scooty,when a group of boys came and snached her gold chain and rings......",Rape / Sexual Assault
7522,Commenting and ogling,Commenting
7523,Taking pictures,Taking pictures
7524,Harassment on the metro feeder bus.,Ogling/Facial Expressions/Staring
7525,At the work place - ignored at the time and later brought it to the knowledge of the concerned authority,Touching /Groping
7526,"A lady going in a cycle rickshaw was asked an address by some boys. When she tried telling them the address, they snatched her chain.",Others
7527,"A lady going in a cycle rickshaw was asked an address by some boys. When she tried telling them the address, they snatched her chain.",Others
7528,Lady wearing jewellry went to her friends house to attend a pooja. On her return two boys came on bicycle and snatched her jewellry.,Others
7529,"On the road bad pass was given, got irritated and ignored thereafter.",Ogling/Facial Expressions/Staring
7530,"At metro station, bad gesture. Ignored.",Catcalls/Whistles
7531,When I was studying at Delhi University I used to travel by U special. Before I could get on at the bus stop a group of bikers whistled at me.,Catcalls/Whistles
7532,Got annoyed and ignored thereafter,Commenting
7533,"When I was a young lawyer and I commuted in crowded buses, I used to be pushed around and groped at. That was a really hard experience and I started hating travelling in buses.",Touching /Groping
7534,Some drivers who were sitting on the pavement made passes at my lady intern.,Catcalls/Whistles
7535,A guy was holding a chart he was intentionally touching me again and again.,Touching /Groping
7536,Chasing and following,Taking pictures
7537,Group of guys chasing me and ogling,Ogling/Facial Expressions/Staring
7538,My friend and I were walking behind our colony when a man came to my friend and groped the waist.,Touching /Groping
7539,My friend was travelling by the metro when a stranger held her hand.,Touching /Groping
7540,"I was followed and
commented at saying, &quot;kya boobs hai maal lag rahi hai&quot;",Catcalls/Whistles
7541,We were drinking near the Park. Some people came and tried to rob us by showing us a knife and made a nuisance of themselves. As we were more than them we could get out of there.,Commenting
7542,I went out of my house for a night walk. I saw a nude man masturbating in front of my house.,Commenting
7543,I was coming out of a club at night with a few friends when a few guys came and stopped us and asked &quot;kya rate hai?&quot; When we shooed them away they kept following us.,Catcalls/Whistles
7544,I was wearing shorts and the people were staring. One of them also whistled.,Catcalls/Whistles
7545,College students stalking and commenting at girls. (at the fest),Catcalls/Whistles
7546,After practice I was going home and a boy deliberately caught hold of my hand.,Touching /Groping
7547,"This was my second visit to mumbai and I along with 4 other friends was sitting at marine drive. There was a group of 3 guys sitting next to us. 
Once we left from marine drive, we noticed those guys following our cab in their  car for like 10 mins and then they disappeared. 
As if this wasnt enough, after 5 minutes we noticed another car which kept on following us till sea link. 

It really makes me think as to why would someone follow you ? 
Just to freak you out and for the sake of attention? 

It was very disturbing.",Others
7548,i saw On Bandra Link Road 2 Boys were taking pics of some girls from back...,Taking pictures
7549,Forceful touching in the train,Ogling/Facial Expressions/Staring
7550,Indecent exposure at Palam Gaon,Indecent exposure
7551,Ogling and indecent exposure,Ogling/Facial Expressions/Staring
7552,Groping and touching at Dwarka metro station,Commenting
7553,He touched me inappropriately,Touching /Groping
7554,forceful touching outside school,Commenting
7555,Someone pinched my breasts. Took place somewhere near NSP,Ogling/Facial Expressions/Staring
7556,Commenting at Munirka,Commenting
7557,Sexual invites at Dwarka metro station,Sexual Invites
7558,Commenting at Laxmi Nagar,Commenting
7559,A boy offered me a ride to the metro station and then abused me.,Ogling/Facial Expressions/Staring
7560,Several girls pressed against me in a crowded metro.,Touching /Groping
7561,Catcalls and whistles in delhi,Catcalls/Whistles
7562,i was in a park and a girl was sitting on a bench. A guy was trying to sit with her and trouble her. All the other people were enjoying the show.,Commenting
7563,I was in the metro with a friend of mine and a guy was continuously whistling.,Catcalls/Whistles
7564,I was commented at.,Commenting
7565,By bus driver while driving scooter shouted and made embarrassed by saying how slowly you drive,Others
7566,By bus driver while driving scooter shouted and made embarrassed by saying how slowly you drive,Others
7567,I was going to my home after my office it was already late in the evening so I took a taxi.The taxi driver couldn't get off his eyes off me which i felt very much offended.,Ogling/Facial Expressions/Staring
7568,Boys touched me and i felt very bad to go outside of home,Catcalls/Whistles
7569,I was harassed by a married man.,Rape / Sexual Assault
7570,"Overcrowded buses in Chennai. Male tries to grab and do embarrassing stuff and females put it as normal day to day things. Due to language constraints they pretend they don't understand when you confront them. NO one stands up.

This is on all public transport buses in Chennai",Ogling/Facial Expressions/Staring
7571,Recently one of my colleagues was abusing me on phone with other colleagues. When I came to know I reported to my union.,Commenting
7572,"Dirty stares, deliberate pushing and touching. Morning and evening at the stations.",Ogling/Facial Expressions/Staring
7573,"The so called 'new age' chhokras of the city have a tendency to accumulate near this lake side street and kick the two wheeler vehicle ridden people, especially women.",Ogling/Facial Expressions/Staring
7574,"While coming back from college, often a group of boys they stare and comment on girls. me and my friends too face this problem approximately on a daily basis.",Ogling/Facial Expressions/Staring
7575,While walking to school men made facial expressions.,Ogling/Facial Expressions/Staring
7576,Coming back from college a group of men on a motorcycle teased me.,Ogling/Facial Expressions/Staring
7577,Catcalls,Catcalls/Whistles
7578,Inappropriate touching,Commenting
7579,When i was in school there is one boy who always stares at me and whenever I go somewhere he always follows me whether it is my tuition or street.,Ogling/Facial Expressions/Staring
7580,Harassed at Rohini,Catcalls/Whistles
7581,Groping at Saket,Touching /Groping
7582,"i was walking to my car in a deserted parking lot, when a boy grabbed me from the behind and did unspeakable things.",Ogling/Facial Expressions/Staring
7583,Catcalling at GK I,Ogling/Facial Expressions/Staring
7584,Ogling and commenting at GK II,Ogling/Facial Expressions/Staring
7585,Ogling at Saket,Ogling/Facial Expressions/Staring
7586,Catcalls and indecent exposure,Catcalls/Whistles
7587,Obtrusive behaviour,Commenting
7588,The guy just stood in front of a door obstructing my way and causing harassment.,Others
7589,i Was harassed as I am a North East Indian,Others
7590,Ogling,Ogling/Facial Expressions/Staring
7591,Harassment,Ogling/Facial Expressions/Staring
7592,Poor street lighting at Katwara Sarai results in harassment,Catcalls/Whistles
7593,"A group of hooligans were clicking pictures of me and my friends. When we approached them and asked them to stop, they abused us.",Taking pictures
7594,A group of boys standing outside the college were ogling at us; commenting and cat calling,Ogling/Facial Expressions/Staring
7595,Someone took my picture without my permission,Taking pictures
7596,I was harassed on Amity campus,Ogling/Facial Expressions/Staring
7597,Harassment in the afternoon at Hauz Khas Village.,Taking pictures
7598,Sexual invites,Sexual Invites
7599,I was forcefully kidnapped and raped at gunpoint by 2 men in a moving car near DPS RK Puram,Rape / Sexual Assault
7600,Someone took my pictures without my permission,Taking pictures
7601,The salesman was ogling at me and tried to grope me.,Ogling/Facial Expressions/Staring
7602,A boy was taking my pictures from under the loo.,Taking pictures
7603,Groped at Shahpurjat,Touching /Groping
7604,Inappropriate and dangerous behaviour.,Commenting
7605,I was harassed at Vasant Kunj,Ogling/Facial Expressions/Staring
7606,People called me Chinki and other abuses for North Easterners. it was horrifying.,Commenting
7607,A boy rubbed his penis against my backside,Ogling/Facial Expressions/Staring
7608,"I was standing in line, I was groped from behind at the IPU canteen.",Commenting
7609,A girl groped my penis,Ogling/Facial Expressions/Staring
7610,Indecent exposure and chain snatching,Indecent exposure
7611,"A man in a car approached me and offered me a car ride. After i sat in, several hundred meters ahead, he asked to suck his dick. When I declined, he dropped me off on a deserted patch.",Ogling/Facial Expressions/Staring
7612,Harassed at Nangloi Jat. People were ogling and my chain was snatched.,Ogling/Facial Expressions/Staring
7613,chain snatching at Najafgarh,Chain Snatching
7614,Taking pictures in. Mundka,Taking pictures
7615,A girl was raped recently. Guards are bribed and nights are not at all safe.,Rape / Sexual Assault
7616,Lady lawyer while waiting for an auto rickshaw at India Gate round about was teased and abused with filthy language by some on goers.,Catcalls/Whistles
7617,Chain snatching,Others
7618,Chain snatching of a resident of Delhi Police Appartments.,Ogling/Facial Expressions/Staring
7619,Someone was trying to get physical with me. The main intention was to distract me and steal my purse.,Touching /Groping
7620,I was standing in the line with my husband and young daughter and a family friend. A young college group pushed from the back and the person standing just behind pinched me. I slapped him. The policewoman and male police took charge later.,Touching /Groping
7621,A friend got an indecent proposition on &quot;What's App&quot; from a person known to her to meet him in the park.,Sexual Invites
7622,Eve teasing seen and reported.,Commenting
7623,Some guys used to follow me during the month of February when I used to travel to Pitampura for my coaching classes.,Others
7624,I have seen girls being teased while standing at the bus stop and railway station,Catcalls/Whistles
7625,Groping,Catcalls/Whistles
7626,Yelling abuses or passing indecent remarks at girls. Touching them at inappropriate places.,Catcalls/Whistles
7627,Ogling and commenting,Commenting
7628,A lot of harassment takes place near this area. Girls are harassed and people roam around with knives.,Commenting
7629,Boys were commenting and shouting at me.,Catcalls/Whistles
7630,"In my hoemtown, Hyderabad, I was walking with my cousin. Somebody came and asked me an address. Then he started showing me nude pics of men and women. Being in class 7 I got scared and ran away.",Indecent exposure
7631,My mother was followed and sexually harassed by a man when she took my dogs out for a walk.,Catcalls/Whistles
7632,My friend and I were playing. The guard threw a chit with his phone number and ran away. He was harassing her again and again.,Catcalls/Whistles
7633,One of my friends was sexually harassed. While she was walking on the street the man felt her up.,Catcalls/Whistles
7634,A man saw my friend in the underpass and was masturbating in front of her. He used foul words to address her.,Catcalls/Whistles
7635,"A bunch of guys kept staring at me for a good 15 mins, thus making me extremely uncomfortable.",Ogling/Facial Expressions/Staring
7636,Pictures were taken and comments were passed.,Commenting
7637,While travelling on the metro a group of boys were clicking pictures which was making the girls really uncomfortable.,Taking pictures
7638,Someone pinched my butt on the metro.,Touching /Groping
7639,Staring whistling and commenting,Catcalls/Whistles
7640,"Staring unnecesarily, commenting wierd stuff.",Catcalls/Whistles
7641,Someone I know was a victim of eve teasing and harassment.,Others
7642,I was stalked by a drunk man,Catcalls/Whistles
7643,I was coming back home and there was a guy standing under a tree constantly staring and giving wierd looks.,Ogling/Facial Expressions/Staring
7644,Once I was standing at the bus stop. Another girl was standing behind me. Suddenly a maniac man came and he tried to kiss her or whatever and he cut the girl on her lips.,Rape / Sexual Assault
7645,Two boys daily follow me to the metro station and pass their comments.,Commenting
7646,I was at the metro station when a guy came and hit my breast. I could not react at all.,Touching /Groping
7647,somebody touched me and teased me in public transportation.,Catcalls/Whistles
7648,when i was going to zoo.some one touched my leg,Taking pictures
7649,i have about 5-6 sexual harresment during office time.,Touching /Groping
7650,when i was going to college some one touched my hand.,Touching /Groping
7651,when i was visiting temple some boys turn by turn pushed and ran away.,Touching /Groping
7652,one of my friend was followed by group of boys and tried to pull her .....,Touching /Groping
7653,one girl was touched by one boy in public transportation .she was feeling soo uncomfortable.,Touching /Groping
7654,one man tried to pay my bus fee and asked my name and followed but i ran away home.,Commenting
7655,when i was travelling in a bus. a man from behind staredc at me and when bus stopped that man came to me and touched me.,Touching /Groping
7656,i was touched by school boy.,Touching /Groping
7657,i was touched by a school boy in public transportation.,Touching /Groping
7658,i was touched by some boys at night in road.,Touching /Groping
7659,wistling and commenting bad words in road when walking,Catcalls/Whistles
7660,boys wistle and speak bad words on street.,Catcalls/Whistles
7661,boys speaking bad words when walking on road.,Commenting
7662,i got touched by boy in public vehicle.,Touching /Groping
7663,some boys sings and say bad words to me.,Commenting
7664,some boys took my ficture for no reason.,Taking pictures
7665,one boy simply touched my figure.,Touching /Groping
7666,one boy pulled me himself and scolded me for no reason.,Commenting
7667,boy tried to touch one girl in public bus.,Touching /Groping
7668,one boy in public bus gave me bad look,Ogling/Facial Expressions/Staring
7669,boy touched one girl in public bus,Touching /Groping
7670,one person touched my sexual organs in public vehicle.,Touching /Groping
7671,one person touched my hand in bus when i was travelling to dolakha district.,Touching /Groping
7672,group of boys take photo of western dresses girls..,Taking pictures
7673,some street boys comment bad words and try to touch.,Commenting
7674,some one called and ask phone number and name.,Catcalls/Whistles
7675,one boy tried to touch in bublic transportation.,Touching /Groping
7676,some boys wistle and comment bad words,Catcalls/Whistles
7677,in public vehicle one boy touched my body.,Touching /Groping
7678,some boys in ratnapark make facial expression and pushing .,Ogling/Facial Expressions/Staring
7679,one girl showed me her breast and i scolded her.,Touching /Groping
7680,it has happened to one of my friend while we were travelling on a bus.,Catcalls/Whistles
7681,i was touched in a public transportation by a boy.,Touching /Groping
7682,while i was going to college some boys and called me by wistling,Catcalls/Whistles
7683,some boys teased me and tried to touch my body.,Ogling/Facial Expressions/Staring
7684,"A man came closer to me and grabbed my breast,i could do nothing at the moment.I felt trauma for months...couldnot travel alone..",Touching /Groping
7685,Misbehaving with girls when they go out to buy clothes.,Commenting
7686,A guy was travelling in a rickshaw and hhe kept looking back wierdly and repeatedly.,Ogling/Facial Expressions/Staring
7687,"Commenting, indecent exposure.",Catcalls/Whistles
7688,Boy was continuously following me till I reached the metro station. He passed comments and also hit me with his hand.,Commenting
7689,"I was with a friend, two guys came on a bike and the person(pervert) sitting at the back touched my friend's butt.",Touching /Groping
7690,A middle aged man opened his zip in a crowded metro and teased/touched a girl with his genitals. The girl and I along with some men shouted and caught hold of this man. He was beaten up and was bleeding profusely. He apologised after that but we handed him over to the metro authority.,Indecent exposure
7691,Teacher tried to touch.,Catcalls/Whistles
7692,I was crossing the road with a friend and a group of bikers commented and whistled.,Catcalls/Whistles
7693,One aunty was in a rickshaw Her chain was snatched by two guys on a bike. We tried chasing them in our car but were unable to.,Others
7694,I saw a few guys commenting on my girlfriends figure while we were walking.,Commenting
7695,"I was walking on the street when two guys on a bike stopped in front of me to scare me, laughed at me abused me and went away.",Catcalls/Whistles
7696,I was being stalked by two boys who after following me for about an hour tried to make conversation. On my refusal to talk to them they got hold of me. Luckily there were other people around.,Touching /Groping
7697,I was going back to my house and a car followed me. People were clicking pics from the car.,Taking pictures
7698,One day while I was travelling in a bus a girl was sitting near me and behind her 2-3 boys were standing and passing cheap comments. The girl knowingly ignored them just because she needed to travel daily.,Commenting
7699,One day I was going to school by public transport. There was no space to stand and after sometime I found that a man was holding me from behind. I didn't know what to do. I pinched him badly and gave him a very bad look.,Commenting
7700,One of my classmates stalked me for one month.,Commenting
7701,"I was standing, &amp; boy was continuously watching, commenting. He also follows me till I reached metro stn
evening 5.30 pm",Commenting
7702,"A random guy taking pics of my friend
evening 6.30 pm",Taking pictures
7703,A person was making wierd faces in front of a girl on the Bus stop. afternoon 1 pm,Catcalls/Whistles
7704,"Some guy had an argument with a girl &amp; abused her as he was entering ladies compartment.
time: afternoon 2-2.30",Others
7705,one of my female friends was groped by a guy in metro while she was going to college,Touching /Groping
7706,"My friend was going back home from college. She was in a rickshaw. A guy was driving alongside the rickshaw and was masturbating looking towards my friend. She was horrified.
evening 6 pm",Commenting
7707,Inappropriate touching,Touching /Groping
7708,He passed lewd remarks,Commenting
7709,A white swift car HR 26 CD 8118 hit me today.Instead of apologizing these for unruly men started abusing me and started a violent scuffle. As the matter worsened they sped away in their car.,Commenting
7710,My friend had a primary teacher in her school who used to behave ackwardly. If students would complain he would beat them without any reason.,Ogling/Facial Expressions/Staring
7711,In Malviya Nagar market some boys were teasing my friend.,Commenting
7712,"My friend was travelling on the metro in the general compartment, sitting on the ladies seat. A middle aged man came and stood next to her. He kept staring at her making her feel uncomfortable.",Ogling/Facial Expressions/Staring
7713,I was walking in the evening talking on the phone when suddenly a guy hit me on my hand and walked away with his group of friends.,Catcalls/Whistles
7714,A man came close to my friend in the bus and touched her private part.,Touching /Groping
7715,There were two boys standing in the center of the market and staring at me and my friend.,Ogling/Facial Expressions/Staring
7716,There were two boys standing in the center of the market and staring at me and my friend.,Ogling/Facial Expressions/Staring
7717,"One night when my friend was travelling by auto, the driver took her to an unknown place, luckily she found help and was saved.",Catcalls/Whistles
7718,A girl was stuck in the evening with her broken car. A guy approached her pretending to help. He happened to be a worst nightmare. A girl could see.,Touching /Groping
7719,"A boy touched a girl's hand, she gave him a look and he move away. After sometime he grabbed both her hands and touched her butt.",Catcalls/Whistles
7720,I was going to Shahdara metro station. On the way a man started whistling and passed cheap comments. In metros people touch and pretend as if nothing happened.,Catcalls/Whistles
7721,A random guy started taking my pictures.,Commenting
7722,i was touched in micro bus,Touching /Groping
7723,A drunk man tried to kiss a girl as she was passing by him.,Taking pictures
7724,a teacher tried to touch when i was at classroom alone .,Touching /Groping
7725,there was a conductor who was trying trying to touch my body of a girl inside a micro bus.,Touching /Groping
7726,Staring and irrelevant unbearable unnecessary comments,Catcalls/Whistles
7727,while i was on the way to my home through micro bus.some unidentified boys used filly words pointing towards me which was very disappointed.,Catcalls/Whistles
7728,Constant staring and passing comments,Commenting
7729,i heard grandfather raped his grand daughter and sucided...,Rape / Sexual Assault
7730,A friend of mine was abused and commented upon by a guy. When she did not respond he tried to touch her.,Catcalls/Whistles
7731,it was very crowed . a person touched my back he pretended that it was an accident..,Touching /Groping
7732,one person who was tottaly unknown to me touched my body from neck to waist ...,Touching /Groping
7733,my friend was sexually harresed by her own uncle .,Rape / Sexual Assault
7734,a girl who came back from morning walk was harresed by an old man ...in the bridge,Touching /Groping
7735,one drunkerd touched my breast on public vehicle.,Touching /Groping
7736,in public transport a girl was misbehaved by some boys .,Touching /Groping
7737,two guys came in a huge bike and snached my neck chain..i could not recognize the number of bike because i fell down.,Touching /Groping
7738,a guy blocked my way back home .and gave a dirty looks and asked my name.,Commenting
7739,one boy came to me asked me for money and i refused him then he started touching my leg and blocked my way.,Sexual Invites
7740,i was returning home alone.i met two boys wistling and commenting at me.,Catcalls/Whistles
7741,one boy came and touched my body and ran away ..it was very painful,Touching /Groping
7742,one guy came to me and pulled me and tried to rape me.,Touching /Groping
7743,i was standing on bus stop and one guy came and attached his body on my back with me.,Catcalls/Whistles
7744,i was sitting on a bus and a guy next to my seat showed penis by oppening pant.,Catcalls/Whistles
7745,one guy put his hand on my shoulders and tried to touch my breast.,Catcalls/Whistles
7746,there was some boys in group teasing and using bad words,Catcalls/Whistles
7747,someone het me on my butt on busy street,Touching /Groping
7748,the boys were drunk and commented bad on the women. and tried to rape the women.,Catcalls/Whistles
7749,one half aged man tried to touch every where of a small girl on micro bus seat,Ogling/Facial Expressions/Staring
7750,the guy just kept staring at me with no reason,Commenting
7751,i was walking on footpath. one stranger followed me and tried to talk with me .i gave no response.,Touching /Groping
7752,on the road side i was followed by a group of guys .they were teasing and commenting.,Commenting
7753,the guy followed all the way to the mall.he was wistling and when i turn around .he tried to hit me by his head.,Catcalls/Whistles
7754,one person touched my breast by his shoulder on footpath ..,Ogling/Facial Expressions/Staring
7755,boys followed one girl who was alone in the road .and start commenting and wistling.,Commenting
7756,the bus was too crowed .i was in the last seat of the bus.the boy sat on my lap and start touching everywhere.he even tried to follow me.,Touching /Groping
7757,i was at local bus .one boy tried to touch my belly and i shouted at him...,Catcalls/Whistles
7758,gang of boys tried to touch me,Touching /Groping
7759,two boys tried to block my way back home,Catcalls/Whistles
7760,in public vehicle i was touched in body parts by some boys,Touching /Groping
7761,rubbish message came to my inbox all day....i was disturbed ..,Commenting
7762,in public vehicle.a passenger came close to me and touched my butt.,Touching /Groping
7763,some boys invites us at different place by saying vulgur words,Sexual Invites
7764,i know a girl who has been harresed .she was been harresed by her class mates.they used to call her by different names say vulgur harresed and did not let her to concentrate in class.,Catcalls/Whistles
7765,an unknown person crossway touching intentionally my body parts,Sexual Invites
7766,some boys called me by using bad words when walking on road,Ogling/Facial Expressions/Staring
7767,an old man came and touched my butt ...when i was walkin with my mum and sister....,Commenting
7768,some of boys were blocking my sisters way .when she was returning form a college,Ogling/Facial Expressions/Staring
